2024 ASA Spring Elections

SubmissionId,"Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 1","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 2","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 3","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 4","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 5","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 6","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 1","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 2","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 3","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 4","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 5","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 1","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 2","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 3","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 4","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 5","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 7","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 1","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 2","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 3","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 4","Please select and option for President/Vice President","Please select your choice for Secretary. ","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 1","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 2","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 3","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 4"
"7197265","Em Powers","Amy Kim","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Juliann Seeley","","","","","","","","","","","","","","Avery Gilman","Isha Hooda","Raleigh Lunderman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7197497","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Amy Kim","Em Powers","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Natneal Goitom","Hawi Meshessha","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7197607","","","","","","","","","","","","","Gracen Juffer","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7197618","Juliann Seeley","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Amy Kim","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Elliana Pulse","Natneal Goitom","Abigail Grace Smith","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Suyash SR Thapaliya","Hiwote Hailu","Nardos Semagne","Anushra Shrestha"
"7197719","","","","","","","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7198339","Em Powers","Amy Kim","Juliann Seeley","Nyamal Changson","Elijah Schipper","May Utonwa Oji","","","","","","","Gracen Juffer","Asmeret Abebe","Susana Gebrekidan","Surafel Zeleke","Issie Ventura","Jackson Paslay","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7198762","","","","","","","Abigail Grace Smith","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7199231","Em Powers","Amy Kim","Juliann Seeley","May Utonwa Oji","Elijah Schipper","Nyamal Changson","","","","","","","Issie Ventura","Susana Gebrekidan","Pierce Cunningham","Gracen Juffer","Surafel Zeleke","Asmeret Abebe","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7199641","Nyamal Changson","May Utonwa Oji","Amy Kim","Juliann Seeley","Em Powers","Elijah Schipper","Hawi Meshessha","Elliana Pulse","Abigail Grace Smith","Anna Pirrung","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7200262","","","","","","","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Anushra Shrestha","Hiwote Hailu","Nardos Semagne"
"7200624","Nyamal Changson","Amy Kim","May Utonwa Oji","Juliann Seeley","Em Powers","Elijah Schipper","Elliana Pulse","Anna Pirrung","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Suyash SR Thapaliya","Nardos Semagne","Anushra Shrestha"
"7201052","Amy Kim","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","Nyamal Changson","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Domanic Dick","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201102","Amy Kim","Em Powers","May Utonwa Oji","","","","","","","","","","Asmeret Abebe","Gracen Juffer","Pierce Cunningham","Issie Ventura","Susana Gebrekidan","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201128","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","Nyamal Changson","May Utonwa Oji","","","","","","","Surafel Zeleke","Jackson Paslay","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201129","Juliann Seeley","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","Elijah Schipper","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Abigail Grace Smith","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201248","Juliann Seeley","Amy Kim","Em Powers","Elijah Schipper","Nyamal Changson","May Utonwa Oji","","","","","","","","","","","","","","Avery Gilman","Domanic Dick","Raleigh Lunderman","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201610","Em Powers","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Elijah Schipper","Amy Kim","","","","","","","Pierce Cunningham","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Issie Ventura","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201618","May Utonwa Oji","Amy Kim","Juliann Seeley","Elijah Schipper","Nyamal Changson","Em Powers","Anna Pirrung","Hawi Meshessha","Abigail Grace Smith","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201647","Em Powers","Nyamal Changson","May Utonwa Oji","Amy Kim","Elijah Schipper","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201680","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","Amy Kim","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Hawi Meshessha","Anna Pirrung","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201687","Juliann Seeley","Nyamal Changson","Em Powers","May Utonwa Oji","Elijah Schipper","Amy Kim","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Hawi Meshessha","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7201750","Em Powers","Amy Kim","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Juliann Seeley","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7201813","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Domanic Dick","Avery Gilman","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha"
"7201939","Em Powers","Amy Kim","Nyamal Changson","","","","","","","","","","Gracen Juffer","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7202444","Juliann Seeley","Elijah Schipper","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Anna Pirrung","Hawi Meshessha","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7202456","Em Powers","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Amy Kim","","","","","","","Surafel Zeleke","Issie Ventura","Gracen Juffer","Susana Gebrekidan","Pierce Cunningham","Asmeret Abebe","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Suyash SR Thapaliya","Nardos Semagne"
"7202458","Em Powers","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Amy Kim","","","","","","","Surafel Zeleke","Issie Ventura","Gracen Juffer","Pierce Cunningham","Susana Gebrekidan","Asmeret Abebe","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu"
"7202565","Juliann Seeley","Amy Kim","Nyamal Changson","Em Powers","May Utonwa Oji","Elijah Schipper","","","","","","","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Susana Gebrekidan","Jackson Paslay","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7202741","Juliann Seeley","Amy Kim","May Utonwa Oji","Nyamal Changson","Elijah Schipper","Em Powers","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Abigail Grace Smith","Natneal Goitom","Hawi Meshessha","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7203023","","","","","","","","","","","","","","","","","","","","Avery Gilman","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7203597","Nyamal Changson","","","","","","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7203663","Amy Kim","Em Powers","","","","","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Abigail Grace Smith","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7203790","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Amy Kim","Em Powers","Elijah Schipper","Hawi Meshessha","Anna Pirrung","Elliana Pulse","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Hiwote Hailu","Nardos Semagne","Anushra Shrestha"
"7203820","Juliann Seeley","Nyamal Changson","Em Powers","May Utonwa Oji","Amy Kim","Elijah Schipper","Elliana Pulse","Anna Pirrung","Natneal Goitom","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7203978","Em Powers","Amy Kim","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Juliann Seeley","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7204896","","","","","","","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Suyash SR Thapaliya","Nardos Semagne"
"7204972","Amy Kim","Juliann Seeley","Em Powers","Nyamal Changson","Elijah Schipper","May Utonwa Oji","","","","","","","Gracen Juffer","Susana Gebrekidan","Issie Ventura","Asmeret Abebe","Pierce Cunningham","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7205023","Amy Kim","Juliann Seeley","","","","","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7205102","Em Powers","May Utonwa Oji","Nyamal Changson","Amy Kim","","","","","","","","","Susana Gebrekidan","Asmeret Abebe","Jackson Paslay","Surafel Zeleke","Pierce Cunningham","Issie Ventura","Gracen Juffer","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Anushra Shrestha","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya"
"7205459","Amy Kim","Em Powers","Elijah Schipper","Nyamal Changson","Juliann Seeley","May Utonwa Oji","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7205991","Nyamal Changson","Amy Kim","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Asmeret Abebe","Susana Gebrekidan","Surafel Zeleke","Issie Ventura","Pierce Cunningham","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7206146","Juliann Seeley","Nyamal Changson","Em Powers","Amy Kim","Elijah Schipper","May Utonwa Oji","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Elliana Pulse","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7206479","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","May Utonwa Oji","Amy Kim","Anna Pirrung","Abigail Grace Smith","Elliana Pulse","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7206788","Juliann Seeley","Elijah Schipper","Nyamal Changson","Em Powers","Amy Kim","May Utonwa Oji","Abigail Grace Smith","Natneal Goitom","Anna Pirrung","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7207342","Em Powers","Juliann Seeley","May Utonwa Oji","Elijah Schipper","Nyamal Changson","Amy Kim","","","","","","","Gracen Juffer","Jackson Paslay","Pierce Cunningham","Issie Ventura","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7207666","May Utonwa Oji","","","","","","Abigail Grace Smith","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7207820","Em Powers","Juliann Seeley","Elijah Schipper","Nyamal Changson","Amy Kim","May Utonwa Oji","","","","","","","Gracen Juffer","Pierce Cunningham","Jackson Paslay","Surafel Zeleke","Issie Ventura","Asmeret Abebe","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7207823","Amy Kim","Em Powers","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Elijah Schipper","","","","","","","Asmeret Abebe","Susana Gebrekidan","Pierce Cunningham","Gracen Juffer","Jackson Paslay","Surafel Zeleke","Issie Ventura","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha"
"7207828","Juliann Seeley","Amy Kim","May Utonwa Oji","Em Powers","Elijah Schipper","Nyamal Changson","Abigail Grace Smith","Natneal Goitom","Anna Pirrung","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","","","","","","","","","","","","I do not want to vote for a ticket","Carson Steichen","","","",""
"7207970","Juliann Seeley","Elijah Schipper","Em Powers","May Utonwa Oji","Amy Kim","Nyamal Changson","Elliana Pulse","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Natneal Goitom","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7208158","","","","","","","","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha","Nardos Semagne"
"7208270","Amy Kim","Em Powers","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Hawi Meshessha","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7208299","Em Powers","","","","","","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7208477","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Abigail Grace Smith","Anna Pirrung","Natneal Goitom","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7208687","Em Powers","Elijah Schipper","Juliann Seeley","Amy Kim","May Utonwa Oji","Nyamal Changson","","","","","","","","","","","","","","Domanic Dick","Avery Gilman","Raleigh Lunderman","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7208844","Amy Kim","Em Powers","Elijah Schipper","","","","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","","","Hawi Meshessha","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7208998","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Amy Kim","Nyamal Changson","Em Powers","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7209059","Amy Kim","Elijah Schipper","Juliann Seeley","Nyamal Changson","May Utonwa Oji","Em Powers","","","","","","","","","","","","","","Domanic Dick","Avery Gilman","Isha Hooda","Raleigh Lunderman","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7209316","Amy Kim","Nyamal Changson","Juliann Seeley","Em Powers","Elijah Schipper","May Utonwa Oji","","","","","","","Gracen Juffer","Susana Gebrekidan","Asmeret Abebe","Pierce Cunningham","Issie Ventura","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya"
"7209406","Amy Kim","May Utonwa Oji","Nyamal Changson","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Asmeret Abebe","Issie Ventura","Pierce Cunningham","Surafel Zeleke","Jackson Paslay","Gracen Juffer","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7209662","Amy Kim","Em Powers","Nyamal Changson","Elijah Schipper","May Utonwa Oji","Juliann Seeley","","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7209681","May Utonwa Oji","Nyamal Changson","Amy Kim","Em Powers","","","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Hiwote Hailu","Nardos Semagne","Anushra Shrestha",""
"7210159","Elijah Schipper","Amy Kim","Juliann Seeley","May Utonwa Oji","Em Powers","Nyamal Changson","Elliana Pulse","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha"
"7210425","","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7210441","Amy Kim","Nyamal Changson","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","","","","","","","","Avery Gilman","Domanic Dick","Raleigh Lunderman","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Suyash SR Thapaliya","Nardos Semagne"
"7210569","Nyamal Changson","Amy Kim","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Abigail Grace Smith","Elliana Pulse","Hawi Meshessha","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7210936","Em Powers","Amy Kim","Nyamal Changson","Juliann Seeley","May Utonwa Oji","Elijah Schipper","","","","","","","Issie Ventura","Asmeret Abebe","Gracen Juffer","Pierce Cunningham","Susana Gebrekidan","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7211021","May Utonwa Oji","Em Powers","Nyamal Changson","Amy Kim","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Anna Pirrung","Elliana Pulse","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Suyash SR Thapaliya","Hiwote Hailu","Nardos Semagne","Anushra Shrestha"
"7211244","Nyamal Changson","Juliann Seeley","Em Powers","May Utonwa Oji","Amy Kim","Elijah Schipper","Anna Pirrung","Abigail Grace Smith","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7211254","Em Powers","Amy Kim","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Juliann Seeley","","","","","","","Asmeret Abebe","Surafel Zeleke","Susana Gebrekidan","Gracen Juffer","Jackson Paslay","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7211472","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","May Utonwa Oji","Nyamal Changson","","","","","","","Surafel Zeleke","Susana Gebrekidan","Asmeret Abebe","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","I do not want to vote for a ticket","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7211529","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","Amy Kim","May Utonwa Oji","Anna Pirrung","Natneal Goitom","Elliana Pulse","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Suyash SR Thapaliya","Nardos Semagne","Hiwote Hailu"
"7211826","Amy Kim","Elijah Schipper","Juliann Seeley","May Utonwa Oji","Nyamal Changson","Em Powers","","","","","","","Pierce Cunningham","Gracen Juffer","Jackson Paslay","Issie Ventura","Asmeret Abebe","Surafel Zeleke","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7212146","Juliann Seeley","","","","","","","","","","","","","","","","","","","Isha Hooda","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","","",""
"7212191","Amy Kim","Elijah Schipper","Em Powers","Juliann Seeley","May Utonwa Oji","Nyamal Changson","","","","","","","Surafel Zeleke","Asmeret Abebe","Gracen Juffer","Pierce Cunningham","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7212306","Juliann Seeley","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Em Powers","Amy Kim","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7212360","Amy Kim","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Elliana Pulse","Anna Pirrung","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7212373","May Utonwa Oji","Nyamal Changson","Amy Kim","Em Powers","Elijah Schipper","Juliann Seeley","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Natneal Goitom","Elliana Pulse","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7212401","Amy Kim","Nyamal Changson","Em Powers","Elijah Schipper","","","","","","","","","Asmeret Abebe","Susana Gebrekidan","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Anushra Shrestha","Hiwote Hailu","",""
"7212431","Em Powers","May Utonwa Oji","Elijah Schipper","Amy Kim","Juliann Seeley","Nyamal Changson","","","","","","","Gracen Juffer","Asmeret Abebe","Surafel Zeleke","Issie Ventura","Susana Gebrekidan","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7212458","Nyamal Changson","Elijah Schipper","Juliann Seeley","Em Powers","May Utonwa Oji","Amy Kim","","","","","","","Surafel Zeleke","Pierce Cunningham","Issie Ventura","Gracen Juffer","Jackson Paslay","Asmeret Abebe","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya","Anushra Shrestha"
"7212531","Em Powers","Elijah Schipper","Amy Kim","Nyamal Changson","Juliann Seeley","May Utonwa Oji","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","I do not want to vote for a ticket","Carson Steichen","Nardos Semagne","Hiwote Hailu","Anushra Shrestha","Suyash SR Thapaliya"
"7212611","Em Powers","Juliann Seeley","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Amy Kim","","","","","","","Asmeret Abebe","Issie Ventura","Surafel Zeleke","Susana Gebrekidan","Pierce Cunningham","Gracen Juffer","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Nardos Semagne","Anushra Shrestha","Hiwote Hailu","Suyash SR Thapaliya"
